recipeID,foodName,value
1,carrot,10
1,egg,10
1,flour,8
1,walnut,5
1,baking soda,10
1,cream cheese,5
1,vegetable oil,8
2,beef,10
2,bun,7
2,lettuce,5
2,tomato,5
2,cheese,5
3,egg,10
3,tomato,10
3,feta,5
3,spinach,5
3,bread,2
4,egg,10
4,vegetable oil,8
4,scallion,5
4,tomato,10
5,carrot,10
5,potato,10
5,onion,5
5,cabbage,10
5,garlic,2
5,chicken stock,5
5,parsley,5
5,olive oil,8
5,thyme,5
5,basil,5
6,anchovy,5
6,dijon mustard,5
6,vinegar,8
6,worcestershire sauce,5
6,garlic,5
6,lemon,5
6,olive oil,10
6,parmesan cheese,8
6,bread,8
6,romaine lettuce,10
7,flour,10
7,chicken breast,10
7,buttermilk,8
7,olive oil,5
7,cornstarch,10
7,chicken broth,8
7,onion,5
7,green onion,5
7,garlic,5
7,milk,10
8,yogurt,10
8,granola,10
8,strawberry,5
8,honey,2
9,bacon,10
9,lettuce,10
9,tomato,10
9,bread,10
9,mayonnaise,5
10,bread,10
10,butter,10
10,cheese,10
11,salmon,10
11,vegetable oil,5
12,garlic,2
12,shrimp,10
12,honey,5
13,bell pepper,7
13,squash,7
13,zucchini,7
13,eggplant,7
13,mushroom,7
13,asparagus,7
13,green onion,5
13,garlic,5
13,olive oil,5
13,parsley,5
14,potatoes,7
14,olive oil,5
14,kale,10
14,garlic,2
14,chicken breast,10
14,salad,5
14,cherry tomato,3
14,parmesan,2
14,lemon,2
15,flour,7
15,milk,7
15,cheddar cheese,7
15,mustard,3
15,filet mignon,10
15,olive oil,5
15,onion,5
15,mushroom,3
15,bell pepper,3
16,peanut,3
16,cashew,3
16,date,3
16,maple syrup,5
16,chocolate chip,5
16,banana,5
16,cinnamon,5
16,coconut milk,7
16,coconut,5
17,date,10
17,walnut,5
17,almond,5
17,cashew,7
17,lemon,3
17,coconut oil,5
17,coconut milk,5
17,maple syrup,3
18,nori,7
18,sushi rice,10
18,tuna,7
18,salmon,7
18,cucumber,3
18,carrot,3
18,avocado,3
19,peach,10
19,tomato,7
19,onion,7
19,lime,3
19,jalapeno,3
19,cilantro,5
19,zucchini,7
19,golden flax,5
20,anchovy,2
20,caper,5
20,dijon mustard,5
20,egg,10
20,beef tenderloin,10
20,onion,5
20,parsley,3
20,olive oil,5
20,hot sauce,3
20,Worcestershire sauce,3
